,timestamp,count,provider
6685,1584371590.0,1,aws
6686,1584372490.0,7,aws
6687,1584373390.0,5,aws
6688,1584374290.0,1,aws
6689,1584375190.0,1,aws
6690,1584376090.0,36,aws
6691,1584376990.0,40,aws
6692,1584377890.0,4,aws
6693,1584378790.0,11,aws
6694,1584379690.0,7,aws
6695,1584380590.0,8,aws
6696,1584381490.0,4,aws
6697,1584382390.0,0,aws
6698,1584383290.0,5,aws
6699,1584384190.0,4,aws
6700,1584385090.0,5,aws
6701,1584385990.0,3,aws
6702,1584386890.0,2,aws
6703,1584387790.0,7,aws
6704,1584388690.0,14,aws
6705,1584389590.0,21,aws
6706,1584390490.0,6,aws
6707,1584391390.0,11,aws
6708,1584392290.0,7,aws
6709,1584393190.0,8,aws
6710,1584394090.0,3,aws
6711,1584394990.0,11,aws
6712,1584395890.0,9,aws
6713,1584396790.0,6,aws
6714,1584397690.0,5,aws
6715,1584398590.0,2,aws
6716,1584399490.0,5,aws
6717,1584400390.0,1,aws
6718,1584401290.0,2,aws
6719,1584402190.0,4,aws
6720,1584403090.0,3,aws
6721,1584403990.0,2,aws
6722,1584404890.0,4,aws
6723,1584405790.0,4,aws
6724,1584406690.0,5,aws
6725,1584407590.0,6,aws
6726,1584408490.0,2,aws
6727,1584409390.0,4,aws
6728,1584410290.0,3,aws
6729,1584411190.0,3,aws
6730,1584412090.0,1,aws
6731,1584412990.0,5,aws
6732,1584413890.0,2,aws
6733,1584414790.0,1,aws
6734,1584415690.0,4,aws
6735,1584416590.0,3,aws
6736,1584417490.0,1,aws
6737,1584418390.0,1,aws
6738,1584945625.0,1,azure
6739,1584946525.0,0,azure
6740,1584947425.0,1,azure
6741,1584948325.0,0,azure
6742,1584949225.0,1,azure
6743,1584950125.0,0,azure
6744,1584951025.0,0,azure
6745,1584951925.0,0,azure
6746,1584952825.0,0,azure
6747,1584953725.0,0,azure
6748,1584954625.0,0,azure
6749,1584955525.0,0,azure
6750,1584956425.0,0,azure
6751,1584957325.0,0,azure
6752,1584958225.0,0,azure
6753,1584959125.0,0,azure
6754,1584960025.0,0,azure
6755,1584960925.0,1,azure
6756,1584961825.0,0,azure
6757,1584962725.0,0,azure
6758,1584963625.0,0,azure
6759,1584964525.0,0,azure
6760,1584965425.0,0,azure
6761,1584966325.0,1,azure
6762,1584967225.0,1,azure
6763,1584968125.0,2,azure
6764,1584969025.0,1,azure
6765,1584969925.0,1,azure
6766,1584970825.0,0,azure
6767,1584971725.0,1,azure
6768,1584972625.0,0,azure
6769,1584973525.0,3,azure
6770,1584974425.0,2,azure
6771,1584975325.0,0,azure
6772,1584976225.0,0,azure
6773,1584977125.0,2,azure
6774,1584978025.0,4,azure
6775,1584978925.0,5,azure
6776,1584979825.0,2,azure
6777,1584980725.0,1,azure
6778,1584981625.0,2,azure
6779,1584982525.0,4,azure
6780,1584983425.0,3,azure
6781,1584984325.0,2,azure
6782,1584985225.0,2,azure
6783,1584986125.0,7,azure
6784,1584987025.0,4,azure
6785,1584987925.0,2,azure
6786,1584988825.0,8,azure
6787,1584989725.0,0,azure
6788,1584990625.0,6,azure
6789,1584991525.0,1,azure
6790,1584992425.0,7,azure
6791,1584993325.0,7,azure
6792,1584994225.0,26,azure
6793,1584995125.0,90,azure
6794,1584996025.0,181,azure
6795,1584996925.0,201,azure
6796,1584997825.0,70,azure
6797,1584998725.0,33,azure
6798,1584999625.0,21,azure
6799,1585000525.0,8,azure
6800,1585001425.0,19,azure
6801,1585002325.0,10,azure
6802,1585003225.0,8,azure
6803,1585004125.0,8,azure
6804,1585005025.0,3,azure
6805,1585005925.0,5,azure
6806,1585006825.0,7,azure
6807,1585007725.0,5,azure
6808,1585008625.0,15,azure
6809,1585009525.0,27,azure
6810,1585010425.0,18,azure
6811,1585011325.0,5,azure
6812,1585012225.0,3,azure
6813,1585013125.0,4,azure
6814,1585014025.0,3,azure
6815,1585014925.0,1,azure
6816,1585015825.0,3,azure
6817,1585016725.0,1,azure
6818,1585017625.0,0,azure
6819,1585018525.0,1,azure
6820,1585019425.0,1,azure
6821,1585020325.0,4,azure
6822,1585021225.0,0,azure
6823,1585022125.0,1,azure
6824,1585023025.0,2,azure
6825,1585023925.0,0,azure
6826,1585024825.0,0,azure
6827,1585025725.0,0,azure
6828,1585026625.0,2,azure
6829,1585027525.0,1,azure
6830,1585028425.0,4,azure
6831,1585029325.0,1,azure
6832,1585030225.0,3,azure
6833,1585195197.0,0,gcp
6834,1585196097.0,0,gcp
6835,1585196997.0,0,gcp
6836,1585197897.0,0,gcp
6837,1585198797.0,0,gcp
6838,1585199697.0,0,gcp
6839,1585200597.0,0,gcp
6840,1585201497.0,0,gcp
6841,1585202397.0,0,gcp
6842,1585203297.0,0,gcp
6843,1585204197.0,0,gcp
6844,1585205097.0,0,gcp
6845,1585205997.0,0,gcp
6846,1585206897.0,0,gcp
6847,1585207797.0,0,gcp
6848,1585208697.0,0,gcp
6849,1585209597.0,0,gcp
6850,1585210497.0,0,gcp
6851,1585211397.0,0,gcp
6852,1585212297.0,0,gcp
